features,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
ENSG00000160075.12,4136,4132,3976,5456,3971,3971,4663,3675,3773,4215,5863,4456
ENSG00000215014.5,15,16,14,20,21,11,29,18,28,17,41,33
ENSG00000274481.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,529,464,654,220,681,490,144,629,665,489,191,927
ENSG00000286989.1,41,56,19,5,44,43,2,35,53,17,3,64
ENSG00000272106.1,108,125,37,232,93,90,192,105,38,50,253,96
ENSG00000197530.13,1279,1342,846,2472,977,1344,2015,1270,717,531,2247,1518
ENSG00000189409.14,1,1,0,2,0,0,0,0,0,0,0,0
ENSG00000248333.9,417,364,379,338,447,349,268,403,357,339,351,513
ENSG00000272004.1,2,1,0,1,0,1,1,0,0,0,3,0
ENSG00000189339.12,2514,1537,715,1817,1575,1870,1109,2046,926,521,1994,2773
ENSG00000269737.2,14,9,8,12,36,2,6,50,2,1,11,71
ENSG00000215914.4,3,6,2,3,6,2,0,5,1,4,1,2
ENSG00000008128.23,89,93,19,37,40,63,30,48,15,23,33,88
ENSG00000268575.1,124,118,25,48,57,113,45,45,25,14,58,72
ENSG00000227775.3,96,44,95,14,216,48,13,299,104,60,31,373
ENSG00000290854.1,125,125,35,26,48,106,39,68,44,31,28,102
ENSG00000215790.9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008130.15,3236,3399,2851,4020,2766,3249,3278,2938,2684,2804,4080,3785
ENSG00000078369.19,15384,14799,14504,12968,15134,16253,10094,16232,14670,10183,11739,20913
ENSG00000231050.3,1,1,0,7,4,1,8,4,0,5,6,2
ENSG00000169885.10,0,1,1,0,0,0,0,0,0,0,2,0
ENSG00000178821.13,17,17,15,39,14,12,26,10,14,34,40,20
ENSG00000142609.20,1,0,5,2,2,1,2,1,4,0,5,0
ENSG00000233542.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187730.9,0,2,0,1,2,1,2,0,2,1,1,3
ENSG00000226969.1,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000067606.17,451,453,83,1,200,473,1,276,85,74,0,378
ENSG00000271806.1,1,1,1,0,1,0,0,3,0,0,1,2
ENSG00000182873.5,35,27,11,29,21,32,15,36,12,13,27,51
ENSG00000162585.17,1304,1196,1308,1082,948,1228,1011,1052,1126,1035,1180,1213
ENSG00000234396.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157933.11,315,365,173,125,296,271,126,266,197,159,110,419
ENSG00000287356.1,1,0,1,4,1,1,7,3,3,0,3,5
ENSG00000116151.14,126,75,72,291,67,123,239,88,86,83,263,124
ENSG00000272161.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269896.2,10,9,6,21,14,2,9,7,5,2,17,13
ENSG00000272420.1,2,0,0,1,0,0,1,0,1,0,3,2
ENSG00000157916.20,3669,3636,4268,3219,3636,3867,2661,3638,4528,4204,3264,4187
ENSG00000157911.11,359,358,453,1043,388,426,894,410,418,439,1053,487
ENSG00000149527.18,402,296,83,100,185,269,91,192,100,27,100,240
ENSG00000224387.1,0,0,2,1,0,0,1,1,0,1,0,1
ENSG00000229393.1,4,2,2,0,0,1,1,0,1,0,0,4
ENSG00000157881.16,1995,2056,1966,1316,2165,2053,1015,2317,1880,1726,1244,3080
ENSG00000197921.6,0,0,2,3,1,0,1,2,0,0,0,3
ENSG00000272449.3,158,149,61,210,81,171,158,106,112,41,193,122
ENSG00000238164.6,221,175,183,37,191,208,14,183,167,156,29,261
ENSG00000157873.18,6527,6298,3122,627,4901,6159,541,5425,3053,2533,622,6046
ENSG00000225931.3,6,8,5,4,6,2,3,8,4,2,6,9
ENSG00000228037.1,32,31,17,22,22,45,23,26,13,18,21,26
ENSG00000289610.2,2,1,4,1,0,1,1,0,1,2,2,0
ENSG00000157870.17,1409,1517,1014,1233,1527,1580,1029,1565,998,740,1114,2124
ENSG00000142606.16,9,11,2,2,13,7,2,15,8,7,3,17
ENSG00000237058.1,0,0,0,0,1,0,0,1,0,0,0,0
ENSG00000215912.13,7,8,2,3,0,4,7,6,3,3,7,6
ENSG00000285945.1,0,0,0,0,0,0,0,0,1,1,0,1
ENSG00000283259.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000284745.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177133.14,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000142611.17,1,2,1,1,0,0,0,0,4,2,1,0
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,1,0,0,1,0,0,0,0,0
ENSG00000279839.1,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272235.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287828.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286518.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130762.15,1,0,0,7,0,1,3,0,0,0,4,0
ENSG00000272088.1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000162591.17,423,431,283,159,281,395,167,345,200,84,180,416
ENSG00000207776.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238260.3,3,2,3,3,1,2,6,4,3,0,2,7
ENSG00000158109.15,928,903,557,975,795,933,858,862,551,489,971,984
