"","ensembl_gene_id_version","external_gene_name","ensembl_gene_id"
"33350","ENSG00000118369.13","USP35","ENSG00000118369"
"33351","ENSG00000118596.12","SLC16A7","ENSG00000118596"
"33352","ENSG00000118600.13","RXYLT1","ENSG00000118600"
"33353","ENSG00000118971.9","CCND2","ENSG00000118971"
"33354","ENSG00000118972.3","FGF23","ENSG00000118972"
"33355","ENSG00000118976.5","OTUD4P1","ENSG00000118976"
"33356","ENSG00000120451.11","SNX19","ENSG00000120451"
"33357","ENSG00000120457.12","KCNJ5","ENSG00000120457"
"33358","ENSG00000120458.13","MSANTD2","ENSG00000120458"
"33359","ENSG00000120471.16","TP53AIP1","ENSG00000120471"
"33360","ENSG00000120645.12","IQSEC3","ENSG00000120645"
"33361","ENSG00000120647.10","CCDC77","ENSG00000120647"
"33362","ENSG00000120798.17","NR2C1","ENSG00000120798"
"33363","ENSG00000120800.5","UTP20","ENSG00000120800"
"33364","ENSG00000120802.14","TMPO","ENSG00000120802"
"33365","ENSG00000120805.14","ARL1","ENSG00000120805"
"33366","ENSG00000120833.14","SOCS2","ENSG00000120833"
"33367","ENSG00000120868.14","APAF1","ENSG00000120868"
"33368","ENSG00000121314.3","TAS2R8","ENSG00000121314"
"33369","ENSG00000121316.11","PLBD1","ENSG00000121316"
"33370","ENSG00000121318.3","TAS2R10","ENSG00000121318"
"33371","ENSG00000121335.12","PRB2","ENSG00000121335"
"33372","ENSG00000121350.16","PYROXD1","ENSG00000121350"
"33373","ENSG00000121351.8","IAPP","ENSG00000121351"
"33374","ENSG00000121361.5","KCNJ8","ENSG00000121361"
"33375","ENSG00000121377.2","TAS2R7","ENSG00000121377"
"33376","ENSG00000121380.12","BCL2L14","ENSG00000121380"
"33377","ENSG00000121381.4","TAS2R9","ENSG00000121381"
"33378","ENSG00000121653.11","MAPK8IP1","ENSG00000121653"
"33379","ENSG00000121671.12","CRY2","ENSG00000121671"
"33380","ENSG00000121680.16","PEX16","ENSG00000121680"
"33381","ENSG00000121749.16","TBC1D15","ENSG00000121749"
"33382","ENSG00000123094.16","RASSF8","ENSG00000123094"
"33383","ENSG00000123095.6","BHLHE41","ENSG00000123095"
"33384","ENSG00000123096.12","SSPN","ENSG00000123096"
"33385","ENSG00000123104.12","ITPR2","ENSG00000123104"
"33386","ENSG00000123106.11","CCDC91","ENSG00000123106"
"33387","ENSG00000123268.9","ATF1","ENSG00000123268"
"33388","ENSG00000123297.20","TSFM","ENSG00000123297"
"33389","ENSG00000123307.4","NEUROD4","ENSG00000123307"
"33390","ENSG00000123329.20","ARHGAP9","ENSG00000123329"
"33391","ENSG00000123338.13","NCKAP1L","ENSG00000123338"
"33392","ENSG00000123342.16","MMP19","ENSG00000123342"
"33393","ENSG00000123349.15","PFDN5","ENSG00000123349"
"33394","ENSG00000123352.18","SPATS2","ENSG00000123352"
"33395","ENSG00000123353.10","ORMDL2","ENSG00000123353"
"33396","ENSG00000123358.20","NR4A1","ENSG00000123358"
"33397","ENSG00000123360.12","PDE1B","ENSG00000123360"
"33398","ENSG00000123364.5","HOXC13","ENSG00000123364"
"33399","ENSG00000123374.11","CDK2","ENSG00000123374"
"33400","ENSG00000123384.14","LRP1","ENSG00000123384"
"33401","ENSG00000123388.4","HOXC11","ENSG00000123388"
"33402","ENSG00000123395.15","ATG101","ENSG00000123395"
"33403","ENSG00000123405.14","NFE2","ENSG00000123405"
"33404","ENSG00000123407.4","HOXC12","ENSG00000123407"
"33405","ENSG00000123411.15","IKZF4","ENSG00000123411"
"33406","ENSG00000123415.16","SMUG1","ENSG00000123415"
"33407","ENSG00000123416.15","TUBA1B","ENSG00000123416"
"33408","ENSG00000123427.17","EEF1AKMT3","ENSG00000123427"
"33409","ENSG00000123444.14","KBTBD4","ENSG00000123444"
"33410","ENSG00000123447.6","TYRL","ENSG00000123447"
"33411","ENSG00000123892.12","RAB38","ENSG00000123892"
"33412","ENSG00000123901.9","GPR83","ENSG00000123901"
"33413","ENSG00000124900.12","TRIM51","ENSG00000124900"
"33414","ENSG00000124915.10","MYRF-AS1","ENSG00000124915"
"33415","ENSG00000124920.14","MYRF","ENSG00000124920"
"33416","ENSG00000124935.4","SCGB1D2","ENSG00000124935"
"33417","ENSG00000124939.6","SCGB2A1","ENSG00000124939"
"33418","ENSG00000124942.14","AHNAK","ENSG00000124942"
"33419","ENSG00000125084.13","WNT1","ENSG00000125084"
"33420","ENSG00000126391.14","FRMD8","ENSG00000126391"
"33421","ENSG00000126432.14","PRDX5","ENSG00000126432"
"33422","ENSG00000126500.4","FLRT1","ENSG00000126500"
"33423","ENSG00000126749.17","EMG1","ENSG00000126749"
"33424","ENSG00000126838.10","PZP","ENSG00000126838"
"33425","ENSG00000127311.10","HELB","ENSG00000127311"
"33426","ENSG00000127314.18","RAP1B","ENSG00000127314"
"33427","ENSG00000127318.11","IL22","ENSG00000127318"
"33428","ENSG00000127324.9","TSPAN8","ENSG00000127324"
"33429","ENSG00000127325.19","BEST3","ENSG00000127325"
"33430","ENSG00000127328.22","RAB3IP","ENSG00000127328"
